Ciudad,via,tipo radar,km,direccion
Islas Baleares,C-733,Radar Móvil,2.310-28.620,28.620
Islas Baleares,EI-100,Radar Fijo,1.73,Creciente
Islas Baleares,EI-200,Radar Fijo,8.14,Creciente
Islas Baleares,EI-30,Radar Fijo,0.076,Decreciente
Islas Baleares,EI-300,Radar Fijo,5.432,Decreciente
Islas Baleares,EI-600,Radar Fijo,7.957,Decreciente
Islas Baleares,EI-600,Radar Fijo,9.635,Creciente
Islas Baleares,EI-700,Radar Fijo,15.568,Decreciente
Islas Baleares,EI-700,Radar Fijo,7.01,Creciente
Islas Baleares,Ma-1,Radar Fijo,23,Decreciente
Islas Baleares,Ma-1,Radar Fijo,15.5,Creciente
Islas Baleares,Ma-1,Radar Fijo,15.92,Decreciente
Islas Baleares,Ma-10,Radar Móvil,0.080-111.100,111.100
Islas Baleares,Ma-1015,Radar Móvil,0.000-9.600,9.600
Islas Baleares,Ma-11,Radar Móvil,16.870-34.500,34.500
Islas Baleares,Ma-11,Radar Móvil,4.500-16.910,16.910
Islas Baleares,Ma-12,Radar Fijo,24.109,Decreciente
Islas Baleares,Ma-12,Radar Móvil,0.000-31.180,31.180
Islas Baleares,Ma-13,Radar Fijo,8.987,Decreciente
Islas Baleares,Ma-13,Radar Fijo,16.139,Creciente
Islas Baleares,Ma-13,Radar Fijo,46.371,Creciente
Islas Baleares,Ma-13,Radar Móvil,39.770-50.500,50.500
Islas Baleares,Ma-13A,Radar Móvil,3.000-32.000,32.000
Islas Baleares,Ma-14,Radar Fijo,19.293,Decreciente
Islas Baleares,Ma-14,Radar Móvil,0.380-28.430,28.430
Islas Baleares,Ma-15,Radar Fijo,52.511,Creciente
Islas Baleares,Ma-19,Radar Fijo,8.926,Creciente
Islas Baleares,Ma-19,Radar Fijo,30.125,Decreciente
Islas Baleares,Ma-19,Radar Móvil,27.300-27.430,27.430
Islas Baleares,Ma-19A,Radar Móvil,8.300-26.480,26.480
Islas Baleares,Ma-2200,Radar Fijo,50.29,Decreciente
Islas Baleares,Ma-3011,Radar Móvil,0.000-31.400,31.400
Islas Baleares,Ma-3433,Radar Móvil,0.000-8.570,8.570
Islas Baleares,Ma-4020,Radar Fijo,5.206,Creciente
Islas Baleares,Ma-4020,Radar Móvil,0.000-12.800,12.800
Islas Baleares,Ma-4023,Radar Móvil,4.120-8.150,8.150
Islas Baleares,Ma-5020,Radar Móvil,0.000-11.310,11.310
Islas Baleares,Ma-5120,Radar Fijo,6.62,Creciente
Islas Baleares,Ma-6012,Radar Móvil,0.000-4.300,4.300
Islas Baleares,Ma-6014,Radar Móvil,1.170-30.800,30.800
Islas Baleares,Ma-6015,Radar Móvil,1.070-11.000,11.000
